COD LOCAL,NOMBRELOCAL,FECHA,VENTANETA
"72065,FR_PANZALEO,2024-02-04 ,""565,052801"""
"72065,FR_PANZALEO,2024-02-05 ,""919,145756"""
"72065,FR_PANZALEO,2024-02-06 ,""629,535734"""
"72065,FR_PANZALEO,2024-02-07 ,""728,898336"""
"72070,FR_EL TEJAR 2,2024-02-01 ,""181,013571"""
"72070,FR_EL TEJAR 2,2024-02-02 ,""43,566015"""
"72070,FR_EL TEJAR 2,2024-02-03 ,""119,891072"""
"72070,FR_EL TEJAR 2,2024-02-05 ,""78,842321"""
"72070,FR_EL TEJAR 2,2024-02-06 ,""83,273929"""
"72070,FR_EL TEJAR 2,2024-02-07 ,""45,015085"""
"72074,FR_JORGE GARCES,2024-02-01 ,""308,216794"""
"72074,FR_JORGE GARCES,2024-02-02 ,""462,610078"""
"72074,FR_JORGE GARCES,2024-02-03 ,""218,238093"""
"72074,FR_JORGE GARCES,2024-02-04 ,""256,151636"""
"72074,FR_JORGE GARCES,2024-02-05 ,""530,251945"""
"72074,FR_JORGE GARCES,2024-02-06 ,""370,041782"""
"72074,FR_JORGE GARCES,2024-02-07 ,""470,115511"""
"72075,FR_LA ARMENIA,2024-02-01 ,""1871,100932"""
"72075,FR_LA ARMENIA,2024-02-02 ,""771,548804"""
"72075,FR_LA ARMENIA,2024-02-03 ,""898,286044"""
"72075,FR_LA ARMENIA,2024-02-04 ,""1004,434483"""
"72075,FR_LA ARMENIA,2024-02-05 ,""1934,64347"""
"72075,FR_LA ARMENIA,2024-02-06 ,""767,545605"""
"72075,FR_LA ARMENIA,2024-02-07 ,""967,534559"""
"72081,FR_YARUQUI,2024-02-01 ,""1226,687653"""
"72081,FR_YARUQUI,2024-02-02 ,""808,10118"""
"72081,FR_YARUQUI,2024-02-03 ,""1049,942322"""
"72081,FR_YARUQUI,2024-02-04 ,""686,087404"""
"72081,FR_YARUQUI,2024-02-05 ,""1200,315936"""
"72081,FR_YARUQUI,2024-02-06 ,""978,940003"""
"72081,FR_YARUQUI,2024-02-07 ,""1162,351232"""
"72082,FR_CALUMA,2024-02-01 ,""242,852235"""
"72082,FR_CALUMA,2024-02-02 ,""160,25559"""
"72082,FR_CALUMA,2024-02-03 ,""254,715021"""
"72082,FR_CALUMA,2024-02-04 ,""194,117857"""
"72082,FR_CALUMA,2024-02-05 ,""323,745998"""
"72082,FR_CALUMA,2024-02-06 ,""289,533338"""
"72082,FR_CALUMA,2024-02-07 ,""302,479546"""
"72084,FR_CESAR DAVILA,2024-02-01 ,""541,706601"""
"72084,FR_CESAR DAVILA,2024-02-02 ,""398,722318"""
"72084,FR_CESAR DAVILA,2024-02-03 ,""595,91884"""
"72084,FR_CESAR DAVILA,2024-02-04 ,""408,86611"""
"72084,FR_CESAR DAVILA,2024-02-05 ,""768,876446"""
"72084,FR_CESAR DAVILA,2024-02-06 ,""642,388787"""
"72084,FR_CESAR DAVILA,2024-02-07 ,""421,31987"""
"72087,FR_ISLA SANTIAGO,2024-02-01 ,""63,045278"""
"72087,FR_ISLA SANTIAGO,2024-02-02 ,""17,828022"""
"72087,FR_ISLA SANTIAGO,2024-02-03 ,""56,871139"""
"72087,FR_ISLA SANTIAGO,2024-02-05 ,""21,924285"""
"72087,FR_ISLA SANTIAGO,2024-02-06 ,""18,968874"""
"72087,FR_ISLA SANTIAGO,2024-02-07 ,""31,792501"""
"72094,FR_EL CHACO,2024-02-01 ,""857,628304"""
"72094,FR_EL CHACO,2024-02-02 ,""736,255176"""
"72094,FR_EL CHACO,2024-02-03 ,""940,435338"""
"72094,FR_EL CHACO,2024-02-04 ,""781,395337"""
"72094,FR_EL CHACO,2024-02-05 ,""1004,629026"""
"72094,FR_EL CHACO,2024-02-06 ,""815,828201"""
"72094,FR_EL CHACO,2024-02-07 ,""516,682509"""
"72107,FR_EL SAGRARIO,2024-02-01 ,""1543,312591"""
"72107,FR_EL SAGRARIO,2024-02-02 ,""907,09538"""
"72107,FR_EL SAGRARIO,2024-02-03 ,""743,701819"""
"72107,FR_EL SAGRARIO,2024-02-04 ,""726,670122"""
"72107,FR_EL SAGRARIO,2024-02-05 ,""1304,595677"""
"72107,FR_EL SAGRARIO,2024-02-06 ,""855,146371"""
"72107,FR_EL SAGRARIO,2024-02-07 ,""948,220405"""
"72109,FR_LA PRADERA,2024-02-01 ,""1657,754115"""
"72109,FR_LA PRADERA,2024-02-02 ,""509,630722"""
"72109,FR_LA PRADERA,2024-02-03 ,""410,211196"""
"72109,FR_LA PRADERA,2024-02-04 ,""148,175963"""
"72109,FR_LA PRADERA,2024-02-05 ,""772,120422"""
"72109,FR_LA PRADERA,2024-02-06 ,""275,758093"""
"72109,FR_LA PRADERA,2024-02-07 ,""583,749375"""
"72110,FR_PARQUE CHILLOGALLO,2024-02-01 ,""1980,667309"""
"72110,FR_PARQUE CHILLOGALLO,2024-02-02 ,""970,652687"""
"72110,FR_PARQUE CHILLOGALLO,2024-02-03 ,""1095,019343"""
"72110,FR_PARQUE CHILLOGALLO,2024-02-04 ,""1234,856333"""
"72110,FR_PARQUE CHILLOGALLO,2024-02-05 ,""1937,044703"""
"72110,FR_PARQUE CHILLOGALLO,2024-02-06 ,""1325,086278"""
"72110,FR_PARQUE CHILLOGALLO,2024-02-07 ,""1232,639352"""
"72113,FR_EL CHOCLO,2024-02-01 ,""795,634781"""
"72113,FR_EL CHOCLO,2024-02-02 ,""772,479429"""
"72113,FR_EL CHOCLO,2024-02-03 ,""304,022555"""
"72113,FR_EL CHOCLO,2024-02-04 ,""212,707474"""
"72113,FR_EL CHOCLO,2024-02-05 ,""824,328143"""
"72113,FR_EL CHOCLO,2024-02-06 ,""621,783226"""
"72113,FR_EL CHOCLO,2024-02-07 ,""709,706504"""
"72114,FR_GRIBALDO MIÑO,2024-02-01 ,""1039,404413"""
"72114,FR_GRIBALDO MIÑO,2024-02-02 ,""627,909578"""
"72114,FR_GRIBALDO MIÑO,2024-02-03 ,""1074,529553"""
"72114,FR_GRIBALDO MIÑO,2024-02-04 ,""638,553699"""
"72114,FR_GRIBALDO MIÑO,2024-02-05 ,""1378,583352"""
"72114,FR_GRIBALDO MIÑO,2024-02-06 ,""656,882267"""
"72114,FR_GRIBALDO MIÑO,2024-02-07 ,""1052,495134"""
"72115,FR_FAJARDO,2024-02-01 ,""2626,931793"""
"72115,FR_FAJARDO,2024-02-02 ,""1094,399857"""
"72115,FR_FAJARDO,2024-02-03 ,""843,000362"""
"72115,FR_FAJARDO,2024-02-04 ,""776,311732"""
"72115,FR_FAJARDO,2024-02-05 ,""1885,512285"""
"72115,FR_FAJARDO,2024-02-06 ,""1072,229394"""
"72115,FR_FAJARDO,2024-02-07 ,""1031,286181"""
"72120,FR_COLTA,2024-02-01 ,""609,85882"""
"72120,FR_COLTA,2024-02-02 ,""560,722295"""
"72120,FR_COLTA,2024-02-03 ,""549,994545"""
"72120,FR_COLTA,2024-02-04 ,""1024,421079"""
"72120,FR_COLTA,2024-02-05 ,""617,857186"""
"72120,FR_COLTA,2024-02-06 ,""580,468614"""
"72120,FR_COLTA,2024-02-07 ,""675,196453"""
"72122,FR_VIA SUA,2024-02-01 ,""458,411134"""
"72122,FR_VIA SUA,2024-02-02 ,""478,334719"""
"72122,FR_VIA SUA,2024-02-03 ,""459,414883"""
"72122,FR_VIA SUA,2024-02-04 ,""562,737681"""
"72122,FR_VIA SUA,2024-02-05 ,""816,574393"""
"72122,FR_VIA SUA,2024-02-06 ,""512,864494"""
"72122,FR_VIA SUA,2024-02-07 ,""669,526489"""
"72123,FR_VICTOR HUGO,2024-02-01 ,""1678,096845"""
"72123,FR_VICTOR HUGO,2024-02-02 ,""772,257587"""
"72123,FR_VICTOR HUGO,2024-02-03 ,""490,880926"""
"72123,FR_VICTOR HUGO,2024-02-04 ,""608,965864"""
"72123,FR_VICTOR HUGO,2024-02-05 ,""1466,557194"""
"72123,FR_VICTOR HUGO,2024-02-06 ,""648,856436"""
"72123,FR_VICTOR HUGO,2024-02-07 ,""369,904465"""
"72124,FR_TERMINAL PUYO,2024-02-01 ,""1030,687123"""
"72124,FR_TERMINAL PUYO,2024-02-02 ,""608,190999"""
"72124,FR_TERMINAL PUYO,2024-02-03 ,""500,654509"""
"72124,FR_TERMINAL PUYO,2024-02-04 ,""425,924697"""
"72124,FR_TERMINAL PUYO,2024-02-05 ,""773,301409"""
"72124,FR_TERMINAL PUYO,2024-02-06 ,""782,935175"""
"72124,FR_TERMINAL PUYO,2024-02-07 ,""688,06735"""
"72125,FR_LA MARIN 2,2024-02-01 ,""737,177331"""
"72125,FR_LA MARIN 2,2024-02-02 ,""422,064503"""
"72125,FR_LA MARIN 2,2024-02-03 ,""534,124413"""
"72125,FR_LA MARIN 2,2024-02-04 ,""347,249988"""
"72125,FR_LA MARIN 2,2024-02-05 ,""750,083193"""
"72125,FR_LA MARIN 2,2024-02-06 ,""446,953385"""
